"Town","FIPS","Year","Measure Type","Variable","Value"
"Andover","0901301080","2006-2010","AAMR (per 100,000)","Drug Induced Deaths",-6666
"Andover","0901301080","2006-2010","Crude Rate (per 100,000)","Drug Induced Deaths",-6666
"Andover","0901301080","2006-2010","Number","Drug Induced Deaths",-6666
"Andover","0901301080","2007-2011","AAMR (per 100,000)","Drug Induced Deaths",-6666
"Andover","0901301080","2007-2011","Crude Rate (per 100,000)","Drug Induced Deaths",-6666
"Andover","0901301080","2007-2011","Number","Drug Induced Deaths",-6666
"Andover","0901301080","2008-2012","AAMR (per 100,000)","Drug Induced Deaths",-6666
"Andover","0901301080","2008-2012","Crude Rate (per 100,000)","Drug Induced Deaths",-6666
"Andover","0901301080","2008-2012","Number","Drug Induced Deaths",-6666
"Ansonia","0900901220","2006-2010","AAMR (per 100,000)","Drug Induced Deaths",29.99
"Ansonia","0900901220","2006-2010","Crude Rate (per 100,000)","Drug Induced Deaths",31.31
"Ansonia","0900901220","2006-2010","Number","Drug Induced Deaths",30
"Ansonia","0900901220","2007-2011","AAMR (per 100,000)","Drug Induced Deaths",25.56
"Ansonia","0900901220","2007-2011","Crude Rate (per 100,000)","Drug Induced Deaths",26.05
"Ansonia","0900901220","2007-2011","Number","Drug Induced Deaths",25
"Ansonia","0900901220","2008-2012","AAMR (per 100,000)","Drug Induced Deaths",24.66
"Ansonia","0900901220","2008-2012","Crude Rate (per 100,000)","Drug Induced Deaths",25.98
"Ansonia","0900901220","2008-2012","Number","Drug Induced Deaths",25
"Ashford","0901501430","2006-2010","AAMR (per 100,000)","Drug Induced Deaths",-6666
"Ashford","0901501430","2006-2010","Crude Rate (per 100,000)","Drug Induced Deaths",23.15
"Ashford","0901501430","2006-2010","Number","Drug Induced Deaths",5
"Ashford","0901501430","2007-2011","AAMR (per 100,000)","Drug Induced Deaths",-6666
"Ashford","0901501430","2007-2011","Crude Rate (per 100,000)","Drug Induced Deaths",23.21
"Ashford","0901501430","2007-2011","Number","Drug Induced Deaths",5
"Ashford","0901501430","2008-2012","AAMR (per 100,000)","Drug Induced Deaths",-6666
"Ashford","0901501430","2008-2012","Crude Rate (per 100,000)","Drug Induced Deaths",18.53
"Ashford","0901501430","2008-2012","Number","Drug Induced Deaths",4
"Avon","0900302060","2006-2010","AAMR (per 100,000)","Drug Induced Deaths",-6666
"Avon","0900302060","2006-2010","Crude Rate (per 100,000)","Drug Induced Deaths",6.79
"Avon","0900302060","2006-2010","Number","Drug Induced Deaths",6
"Avon","0900302060","2007-2011","AAMR (per 100,000)","Drug Induced Deaths",-6666
"Avon","0900302060","2007-2011","Crude Rate (per 100,000)","Drug Induced Deaths",5.6
"Avon","0900302060","2007-2011","Number","Drug Induced Deaths",5
"Avon","0900302060","2008-2012","AAMR (per 100,000)","Drug Induced Deaths",-6666
"Avon","0900302060","2008-2012","Crude Rate (per 100,000)","Drug Induced Deaths",4.42
"Avon","0900302060","2008-2012","Number","Drug Induced Deaths",4
"Barkhamsted","0900502760","2006-2010","AAMR (per 100,000)","Drug Induced Deaths",-6666
"Barkhamsted","0900502760","2006-2010","Crude Rate (per 100,000)","Drug Induced Deaths",5.29
"Barkhamsted","0900502760","2006-2010","Number","Drug Induced Deaths",1
"Barkhamsted","0900502760","2007-2011","AAMR (per 100,000)","Drug Induced Deaths",-6666
"Barkhamsted","0900502760","2007-2011","Crude Rate (per 100,000)","Drug Induced Deaths",-6666
"Barkhamsted","0900502760","2007-2011","Number","Drug Induced Deaths",-6666
"Barkhamsted","0900502760","2008-2012","AAMR (per 100,000)","Drug Induced Deaths",-6666
"Barkhamsted","0900502760","2008-2012","Crude Rate (per 100,000)","Drug Induced Deaths",-6666
"Barkhamsted","0900502760","2008-2012","Number","Drug Induced Deaths",-6666
"Beacon Falls","0900903250","2006-2010","AAMR (per 100,000)","Drug Induced Deaths",-6666
"Beacon Falls","0900903250","2006-2010","Crude Rate (per 100,000)","Drug Induced Deaths",20.31
"Beacon Falls","0900903250","2006-2010","Number","Drug Induced Deaths",6
"Beacon Falls","0900903250","2007-2011","AAMR (per 100,000)","Drug Induced Deaths",-6666
"Beacon Falls","0900903250","2007-2011","Crude Rate (per 100,000)","Drug Induced Deaths",23.45
"Beacon Falls","0900903250","2007-2011","Number","Drug Induced Deaths",7
"Beacon Falls","0900903250","2008-2012","AAMR (per 100,000)","Drug Induced Deaths",-6666
"Beacon Falls","0900903250","2008-2012","Crude Rate (per 100,000)","Drug Induced Deaths",16.53
"Beacon Falls","0900903250","2008-2012","Number","Drug Induced Deaths",5
"Berlin","0900304300","2006-2010","AAMR (per 100,000)","Drug Induced Deaths",-6666
"Berlin","0900304300","2006-2010","Crude Rate (per 100,000)","Drug Induced Deaths",8.17
"Berlin","0900304300","2006-2010","Number","Drug Induced Deaths",8
"Berlin","0900304300","2007-2011","AAMR (per 100,000)","Drug Induced Deaths",-6666
"Berlin","0900304300","2007-2011","Crude Rate (per 100,000)","Drug Induced Deaths",6.09
"Berlin","0900304300","2007-2011","Number","Drug Induced Deaths",6
"Berlin","0900304300","2008-2012","AAMR (per 100,000)","Drug Induced Deaths",-6666
"Berlin","0900304300","2008-2012","Crude Rate (per 100,000)","Drug Induced Deaths",5.03
"Berlin","0900304300","2008-2012","Number","Drug Induced Deaths",5
"Bethany","0900904580","2006-2010","AAMR (per 100,000)","Drug Induced Deaths",-6666
"Bethany","0900904580","2006-2010","Crude Rate (per 100,000)","Drug Induced Deaths",3.66
"Bethany","0900904580","2006-2010","Number","Drug Induced Deaths",1
"Bethany","0900904580","2007-2011","AAMR (per 100,000)","Drug Induced Deaths",-6666
"Bethany","0900904580","2007-2011","Crude Rate (per 100,000)","Drug Induced Deaths",-6666
"Bethany","0900904580","2007-2011","Number","Drug Induced Deaths",-6666
"Bethany","0900904580","2008-2012","AAMR (per 100,000)","Drug Induced Deaths",-6666
"Bethany","0900904580","2008-2012","Crude Rate (per 100,000)","Drug Induced Deaths",3.6
"Bethany","0900904580","2008-2012","Number","Drug Induced Deaths",1
"Bethel","0900104720","2006-2010","AAMR (per 100,000)","Drug Induced Deaths",-6666
"Bethel","0900104720","2006-2010","Crude Rate (per 100,000)","Drug Induced Deaths",6.53
"Bethel","0900104720","2006-2010","Number","Drug Induced Deaths",6
"Bethel","0900104720","2007-2011","AAMR (per 100,000)","Drug Induced Deaths",-6666
"Bethel","0900104720","2007-2011","Crude Rate (per 100,000)","Drug Induced Deaths",7.57
"Bethel","0900104720","2007-2011","Number","Drug Induced Deaths",7
"Bethel","0900104720","2008-2012","AAMR (per 100,000)","Drug Induced Deaths",-6666
"Bethel","0900104720","2008-2012","Crude Rate (per 100,000)","Drug Induced Deaths",8.6
"Bethel","0900104720","2008-2012","Number","Drug Induced Deaths",8
"Bethlehem","0900504930","2006-2010","AAMR (per 100,000)","Drug Induced Deaths",-6666
"Bethlehem","0900504930","2006-2010","Crude Rate (per 100,000)","Drug Induced Deaths",5.56
"Bethlehem","0900504930","2006-2010","Number","Drug Induced Deaths",1
"Bethlehem","0900504930","2007-2011","AAMR (per 100,000)","Drug Induced Deaths",-6666
"Bethlehem","0900504930","2007-2011","Crude Rate (per 100,000)","Drug Induced Deaths",5.56
"Bethlehem","0900504930","2007-2011","Number","Drug Induced Deaths",1
"Bethlehem","0900504930","2008-2012","AAMR (per 100,000)","Drug Induced Deaths",-6666
"Bethlehem","0900504930","2008-2012","Crude Rate (per 100,000)","Drug Induced Deaths",-6666
"Bethlehem","0900504930","2008-2012","Number","Drug Induced Deaths",-6666
"Bloomfield","0900305910","2006-2010","AAMR (per 100,000)","Drug Induced Deaths",-6666
"Bloomfield","0900305910","2006-2010","Crude Rate (per 100,000)","Drug Induced Deaths",4.92
"Bloomfield","0900305910","2006-2010","Number","Drug Induced Deaths",5
"Bloomfield","0900305910","2007-2011","AAMR (per 100,000)","Drug Induced Deaths",-6666
"Bloomfield","0900305910","2007-2011","Crude Rate (per 100,000)","Drug Induced Deaths",3.92
"Bloomfield","0900305910","2007-2011","Number","Drug Induced Deaths",4
"Bloomfield","0900305910","2008-2012","AAMR (per 100,000)","Drug Induced Deaths",-6666
"Bloomfield","0900305910","2008-2012","Crude Rate (per 100,000)","Drug Induced Deaths",1.95
"Bloomfield","0900305910","2008-2012","Number","Drug Induced Deaths",2
"Bolton","0901306260","2006-2010","AAMR (per 100,000)","Drug Induced Deaths",-6666
"Bolton","0901306260","2006-2010","Crude Rate (per 100,000)","Drug Induced Deaths",15.93
"Bolton","0901306260","2006-2010","Number","Drug Induced Deaths",4
"Bolton","0901306260","2007-2011","AAMR (per 100,000)","Drug Induced Deaths",-6666
"Bolton","0901306260","2007-2011","Crude Rate (per 100,000)","Drug Induced Deaths",11.99
"Bolton","0901306260","2007-2011","Number","Drug Induced Deaths",3
"Bolton","0901306260","2008-2012","AAMR (per 100,000)","Drug Induced Deaths",-6666
"Bolton","0901306260","2008-2012","Crude Rate (per 100,000)","Drug Induced Deaths",4.02
"Bolton","0901306260","2008-2012","Number","Drug Induced Deaths",1
"Bozrah","0901106820","2006-2010","AAMR (per 100,000)","Drug Induced Deaths",-6666
"Bozrah","0901106820","2006-2010","Crude Rate (per 100,000)","Drug Induced Deaths",7.72
"Bozrah","0901106820","2006-2010","Number","Drug Induced Deaths",1
"Bozrah","0901106820","2007-2011","AAMR (per 100,000)","Drug Induced Deaths",-6666
"Bozrah","0901106820","2007-2011","Crude Rate (per 100,000)","Drug Induced Deaths",15.37
"Bozrah","0901106820","2007-2011","Number","Drug Induced Deaths",2
"Bozrah","0901106820","2008-2012","AAMR (per 100,000)","Drug Induced Deaths",-6666
"Bozrah","0901106820","2008-2012","Crude Rate (per 100,000)","Drug Induced Deaths",15.23
"Bozrah","0901106820","2008-2012","Number","Drug Induced Deaths",2
"Branford","0900907310","2006-2010","AAMR (per 100,000)","Drug Induced Deaths",11.69
"Branford","0900907310","2006-2010","Crude Rate (per 100,000)","Drug Induced Deaths",11.35
"Branford","0900907310","2006-2010","Number","Drug Induced Deaths",16
"Branford","0900907310","2007-2011","AAMR (per 100,000)","Drug Induced Deaths",16.6
"Branford","0900907310","2007-2011","Crude Rate (per 100,000)","Drug Induced Deaths",15.66
"Branford","0900907310","2007-2011","Number","Drug Induced Deaths",22
"Branford","0900907310","2008-2012","AAMR (per 100,000)","Drug Induced Deaths",15.8
"Branford","0900907310","2008-2012","Crude Rate (per 100,000)","Drug Induced Deaths",14.27
"Branford","0900907310","2008-2012","Number","Drug Induced Deaths",20
"Bridgeport","0900108070","2006-2010","AAMR (per 100,000)","Drug Induced Deaths",13.32
"Bridgeport","0900108070","2006-2010","Crude Rate (per 100,000)","Drug Induced Deaths",12.77
"Bridgeport","0900108070","2006-2010","Number","Drug Induced Deaths",91
"Bridgeport","0900108070","2007-2011","AAMR (per 100,000)","Drug Induced Deaths",10.69
"Bridgeport","0900108070","2007-2011","Crude Rate (per 100,000)","Drug Induced Deaths",10.18
"Bridgeport","0900108070","2007-2011","Number","Drug Induced Deaths",73
"Bridgeport","0900108070","2008-2012","AAMR (per 100,000)","Drug Induced Deaths",10.4
"Bridgeport","0900108070","2008-2012","Crude Rate (per 100,000)","Drug Induced Deaths",9.97
"Bridgeport","0900108070","2008-2012","Number","Drug Induced Deaths",72
"Bridgewater","0900508210","2006-2010","AAMR (per 100,000)","Drug Induced Deaths",-6666
"Bridgewater","0900508210","2006-2010","Crude Rate (per 100,000)","Drug Induced Deaths",-6666
"Bridgewater","0900508210","2006-2010","Number","Drug Induced Deaths",-6666
"Bridgewater","0900508210","2007-2011","AAMR (per 100,000)","Drug Induced Deaths",-6666
"Bridgewater","0900508210","2007-2011","Crude Rate (per 100,000)","Drug Induced Deaths",-6666
"Bridgewater","0900508210","2007-2011","Number","Drug Induced Deaths",-6666
"Bridgewater","0900508210","2008-2012","AAMR (per 100,000)","Drug Induced Deaths",-6666
"Bridgewater","0900508210","2008-2012","Crude Rate (per 100,000)","Drug Induced Deaths",-6666
"Bridgewater","0900508210","2008-2012","Number","Drug Induced Deaths",-6666
"Bristol","0900308490","2006-2010","AAMR (per 100,000)","Drug Induced Deaths",16.09
"Bristol","0900308490","2006-2010","Crude Rate (per 100,000)","Drug Induced Deaths",16.21
"Bristol","0900308490","2006-2010","Number","Drug Induced Deaths",49
"Bristol","0900308490","2007-2011","AAMR (per 100,000)","Drug Induced Deaths",15.23
"Bristol","0900308490","2007-2011","Crude Rate (per 100,000)","Drug Induced Deaths",15.21
"Bristol","0900308490","2007-2011","Number","Drug Induced Deaths",46
"Bristol","0900308490","2008-2012","AAMR (per 100,000)","Drug Induced Deaths",15.35
"Bristol","0900308490","2008-2012","Crude Rate (per 100,000)","Drug Induced Deaths",15.54
